spotify_id,name
3m5qlPf2OkihLz3dRYnkPA,Ovy On The Drums
7oPftvlwr6VrsViSDV7fJY,Green Day
1Yj5Xey7kTwvZla8sqdsdE,Cris MJ
1SupJlEpv7RS2tPNRaHViT,Nicky Jam
67FB4n52MgexGQIG8s0yUH,Lola Young
1KCSPY1glIKqW2TotWuXOR,P!nk
2h93pZq0e7k5yf4dywlkpM,Frank Ocean
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida
25uiPmTg16RbhZWAqwLBy5,Charli xcx
5NGO30tJxFlKixkPSgXcFE,The Police
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo
3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses
4IWBUUAFIplrNtaOHcJPRM,James Arthur
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias
0LcJLqbBmaGUft1e9Mm8HV,ABBA
5y8tKLUfMvliMe8IKamR32,d4vd
5fMUXHkw8R8eOP2RNVYEZX,Diplo
2R21vXR83lH98kGeO99Y66,Anuel AA
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls
1U1el3k54VvEUzo3ybLPlM,Kali Uchis
711MCceyCBcFnzjGY4Q7Un,AC/DC
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z
0z4gvV4rjIZ9wHck67ucSV,Akon
67hb7towEyKvt5Z8Bx306c,Empire Of The Sun
6olE6TJLqED3rqDCT0FyPh,Nirvana
3xvaSlT4xsyk6lY1ESOspO,Disney
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera
1mBydYMVBECdDmMfE2sEUO,Sachin-Jigar
6l3HvQ5sa6mXTsMTB19rO5,J. Cole
2txHhyCwHjUEpJjWrEyqyX,Tom Odell
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION
4npEfmQ6YuiwW1GpUmaq3F,Ava Max
1zNqQNIdeOUZHb8zbZRFMX,Swae Lee
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR
3WrFJ7ztbogyGnTHbHJFl2,The Beatles
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel
163tK9Wjr9P9DmM0AVK7lm,Lorde
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi
5RTLRtXjbXI2lSXc6jxlAz,Ravyn Lenae
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo
2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez
23fqKkggKUBHNkbKtXEls4,Kygo
4E2rKHVDssGJm2SCDOMMJB,Doechii
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys
3JhNCzhSMTxs9WLGJJxWOY,Macklemore
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie
2sSGPbdZJkaSE2AbcGOACx,The Marías
70B80Lwx2sxti0M1Ng9e8K,Udit Narayan
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron
3SozjO3Lat463tQICI9LcE,Tyla
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots
7FNnA9vBm6EKceENgCGRMb,Anitta
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey
5f7VJjfbwm532GiveGC0ZK,Lil Baby
3hv9jJF3adDNsBSIQDqcjp,Mark Ronson
3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival
58lV9VcRSjABbAbfWS6skp,Bon Jovi
52iwsT98xCoGgiGntTiR7K,Quevedo
2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado
6XpaIBNiVzIetEPCWDvAFP,Whitney Houston
6U1dV7aL68N7Gb0Naq34V5,REI AMI
5KKpBU5eC2tJDzf0wmlRp2,RAYE
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz
4f7KfxeHq9BiylGmyXepGt,Tanishk Bagchi
2fMqTqiTxUDlmcOEPaQSsx,Amitabh Bhattacharya
2ye2Wgw4gimLv2eAKyk1NB,Metallica
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera
6pV5zH2LzjOUHaAvENdMMa,Neton Vega
0Wwji82sLA0Hcvtuak3omb,AUDREY NUNA
4kYSro6naA4h99UJvo89HB,Cardi B
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg
6Mv8GjQa7LKUGCAqa9qqdb,Vishal-Shekhar
2yNNYQBChuox9A5Ka93BIn,HUNTR/X
2DaxqgrOhkeH0fpeiQq2f4,Oasis
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD
6MDME20pz9RveH9rEXvrOM,Clean Bandit
78895QQcLtTagD8auJBHfE,Major Lazer
738wLrAtLtCtFOLvQBXOXp,Major Lazer
74XFHRwlV6OrjEM0A2NCMF,Paramore
41MozSoPIsD1dJM0CLPjZF,BLACKPINK
3AA28KZvwAUcZuOKwyblJQ,Gorillaz
2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan
6S2OmqARrzebs0tKUEyXyp,Demi Lovato
0PFtn5NtBbbUNbU9EAmIWF,TOTO
3Z02hBLubJxuFJfhacLSDc,Bryan Adams
3AQRLZ9PuTAozP28Skbq8V,The Script
1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex
5H1nN1SzW0qNeUEZvuXjAj,Danny Ocean
3Nrfpe0tUJi4K4DXYWgMUX,BTS
